"File Name","Scan Method","Image Number","Replicate Number","Visit Number","Shoe Number","Shoe Make/Model","Shoe Size","Worker Names","Shoe Color"
"043758L_20180307_5_1_1_basulto_silerio_jekruse.tif","Film","1","1","2","43","Nike/Winflo 4","10 M","basulto_silerio_jekruse","Black/white-dark grey"
"007961L_20180124_2_1_1_csafe_bryson.tiff","2D Scanner","1","1","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"007961L_20180411_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"043758L_20180411_5_1_1_bryson_kruse_kruse.tif","Film","1","1","3","43","Nike/Winflo 4","10 M","bryson_kruse_kruse","Black/white-dark grey"
"007961L_20180228_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"007961L_20180411_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"007961L_20180228_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"007961L_20180228_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"043758L_20180131_5_2_1_csafe_boekhoff_kruse_zwart.tif","Film","2","1","1","43","Nike/Winflo 4","10 M","csafe_boekhoff_kruse_zwart","Black/white-dark grey"
"007961L_20171031_2_1_1_csafe_bpbryson.tiff","2D Scanner","1","1","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"007961L_20180124_2_2_1_csafe_bryson.tiff","2D Scanner","2","1","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"043758L_20180109_5_2_1_csafe_kruse-basulto-elias-kruse.tif","Film","2","1","0","43","Nike/Winflo 4","10 M","csafe_kruse-basulto-elias-kruse","Black/white-dark grey"
"043758L_20180109_5_1_1_csafe_kruse-basulto-elias-kruse.tif","Film","1","1","0","43","Nike/Winflo 4","10 M","csafe_kruse-basulto-elias-kruse","Black/white-dark grey"
"007961L_20171031_2_2_2_csafe_bpbryson.tiff","2D Scanner","2","2","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"007961L_20171031_2_2_1_csafe_bpbryson.tiff","2D Scanner","2","1","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"043758L_20180411_5_2_1_bryson_kruse_kruse.tif","Film","2","1","3","43","Nike/Winflo 4","10 M","bryson_kruse_kruse","Black/white-dark grey"
"007961L_20180411_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"043758L_20180131_5_1_1_csafe_boekhoff_kruse_zwart.tif","Film","1","1","1","43","Nike/Winflo 4","10 M","csafe_boekhoff_kruse_zwart","Black/white-dark grey"
"007961L_20180411_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"007961L_20180228_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"043758L_20180307_5_2_1_basulto_silerio_jekruse.tif","Film","2","1","2","43","Nike/Winflo 4","10 M","basulto_silerio_jekruse","Black/white-dark grey"
"007961L_20180124_2_2_2_csafe_bryson.tiff","2D Scanner","2","2","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"007961L_20180124_2_1_2_csafe_bryson.tiff","2D Scanner","1","2","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"007961L_20171031_2_1_2_csafe_bpbryson.tiff","2D Scanner","1","2","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
